数据集,案例,seed,units,算法,状态,目标值,节点数,LP求解次数,不可行剪枝数,界剪枝数,整数剪枝数,全局界,相对gap,运行时间,是否与Gurobi一致,备注
presolve,scaling_units_3,,,best-bound+active-set,optimal,28.488,5,8,1,1,1,28.488,0,0.415693,True,
presolve,scaling_units_3,,,best-bound+active-set,optimal,28.488,5,8,1,1,1,28.488,0,0.066243,True,
presolve,scaling_units_4,,,best-bound+active-set,optimal,35.665,13,16,3,3,1,35.665,0,20.708900,True,
presolve,scaling_units_4,,,best-bound+active-set,optimal,35.665,13,16,3,3,1,35.665,0,1.634837,True,
presolve,scaling_units_5,,,best-bound+active-set,LIMIT,,1,3,0,0,0,,,5.120220,,raw_status=candidate_limit
presolve,scaling_units_5,,,best-bound+active-set,LIMIT,50.506,1,3,0,0,0,,,1.801261,,raw_status=candidate_limit
backends,fixed_charge_block,,,best-bound+active-set,optimal,28.5,7,10,1,3,0,28.5,0,0.069471,True,
backends,fixed_charge_block,,,best-bound+SciPy-HiGHS,optimal,28.5,7,10,1,3,0,28.5,0,0.007153,True,
backends,fixed_charge_block,,,Gurobi参考,optimal,28.5,,,,,,28.5,0,0.000317,True,optional full MIP reference
backends,unit_commitment_tiny,,,best-bound+active-set,optimal,26,5,8,2,1,0,26,0,0.005606,True,
backends,unit_commitment_tiny,,,best-bound+SciPy-HiGHS,optimal,26,5,8,2,1,0,26,0,0.004977,True,
backends,unit_commitment_tiny,,,Gurobi参考,optimal,26,,,,,,26,0,0.000109,True,optional full MIP reference
backends,production_expansion_binary,,,best-bound+active-set,optimal,31.5,9,12,2,2,1,31.5,0,0.071028,True,
backends,production_expansion_binary,,,best-bound+SciPy-HiGHS,optimal,31.5,9,12,2,2,1,31.5,0,0.007980,True,
backends,production_expansion_binary,,,Gurobi参考,optimal,31.5,,,,,,31.5,0,0.000598,True,optional full MIP reference
backends,scaling_units_2,,,best-bound+active-set,optimal,18.399,5,8,2,1,0,18.399,0,0.005139,True,
backends,scaling_units_2,,,best-bound+SciPy-HiGHS,optimal,18.399,5,8,2,1,0,18.399,0,0.004765,True,
backends,scaling_units_2,,,Gurobi参考,optimal,18.399,,,,,,18.399,0,0.000090,True,optional full MIP reference
backends,scaling_units_3,,,best-bound+active-set,optimal,28.488,5,8,1,1,1,28.488,0,0.067060,True,
backends,scaling_units_3,,,best-bound+SciPy-HiGHS,optimal,28.488,5,8,1,1,1,28.488,0,0.005225,True,
backends,scaling_units_3,,,Gurobi参考,optimal,28.488,,,,,,28.488,0,0.000687,True,optional full MIP reference
backends,scaling_units_4,,,best-bound+active-set,optimal,35.665,13,16,3,3,1,35.665,0,1.628969,True,
backends,scaling_units_4,,,best-bound+SciPy-HiGHS,optimal,35.665,13,16,3,3,1,35.665,0,0.010842,True,
backends,scaling_units_4,,,Gurobi参考,optimal,35.665,,,,,,35.665,0,0.000756,True,optional full MIP reference
backends,scaling_units_5,,,best-bound+active-set,LIMIT,50.506,1,3,0,0,0,,,1.705801,,raw_status=candidate_limit
backends,scaling_units_5,,,best-bound+SciPy-HiGHS,optimal,42.656,9,12,1,3,1,42.656,0,0.008746,True,
backends,scaling_units_5,,,Gurobi参考,optimal,42.656,,,,,,42.656,0,0.000869,True,optional full MIP reference
batch,batch_units_2_seed_0,0,2,best-bound+active-set,optimal,23.804519,5,8,2,1,0,23.804519,0,0.004759,True,
batch,batch_units_2_seed_0,0,2,best-bound+SciPy-HiGHS,optimal,23.804519,5,8,2,1,0,23.804519,0,0.004684,True,
batch,batch_units_2_seed_0,0,2,Gurobi参考,optimal,23.804519,,,,,,23.804519,0,0.000079,True,optional full MIP reference
batch,batch_units_2_seed_1,1,2,best-bound+active-set,optimal,31.873844,3,5,1,1,0,31.873844,0,0.004442,True,
batch,batch_units_2_seed_1,1,2,best-bound+SciPy-HiGHS,optimal,31.873844,3,5,1,1,0,31.873844,0,0.003069,True,
batch,batch_units_2_seed_1,1,2,Gurobi参考,optimal,31.873844,,,,,,31.873844,0,0.000084,True,optional full MIP reference
batch,batch_units_2_seed_2,2,2,best-bound+active-set,optimal,21.497778,3,6,1,1,0,21.497778,0,0.004263,True,
batch,batch_units_2_seed_2,2,2,best-bound+SciPy-HiGHS,optimal,21.497778,3,6,1,1,0,21.497778,0,0.003451,True,
batch,batch_units_2_seed_2,2,2,Gurobi参考,optimal,21.497778,,,,,,21.497778,0,0.000062,True,optional full MIP reference
batch,batch_units_2_seed_3,3,2,best-bound+active-set,optimal,22.316514,5,8,2,1,0,22.316514,0,0.004953,True,
batch,batch_units_2_seed_3,3,2,best-bound+SciPy-HiGHS,optimal,22.316514,5,8,2,1,0,22.316514,0,0.004694,True,
batch,batch_units_2_seed_3,3,2,Gurobi参考,optimal,22.316514,,,,,,22.316514,0,0.000080,True,optional full MIP reference
batch,batch_units_2_seed_4,4,2,best-bound+active-set,optimal,32.389692,3,5,1,1,0,32.389692,0,0.004235,True,
batch,batch_units_2_seed_4,4,2,best-bound+SciPy-HiGHS,optimal,32.389692,3,5,1,1,0,32.389692,0,0.003047,True,
batch,batch_units_2_seed_4,4,2,Gurobi参考,optimal,32.389692,,,,,,32.389692,0,0.000062,True,optional full MIP reference
batch,batch_units_3_seed_0,0,3,best-bound+active-set,optimal,40.471695,5,8,2,1,0,40.471695,0,0.065687,True,
batch,batch_units_3_seed_0,0,3,best-bound+SciPy-HiGHS,optimal,40.471695,5,8,2,1,0,40.471695,0,0.005346,True,
batch,batch_units_3_seed_0,0,3,Gurobi参考,optimal,40.471695,,,,,,40.471695,0,0.000114,True,optional full MIP reference
batch,batch_units_3_seed_1,1,3,best-bound+active-set,optimal,29.098846,7,10,1,2,1,29.098846,0,0.069882,True,
batch,batch_units_3_seed_1,1,3,best-bound+SciPy-HiGHS,optimal,29.098846,7,10,1,2,1,29.098846,0,0.006487,True,
batch,batch_units_3_seed_1,1,3,Gurobi参考,optimal,29.098846,,,,,,29.098846,0,0.000514,True,optional full MIP reference
batch,batch_units_3_seed_2,2,3,best-bound+active-set,optimal,33.497582,3,6,1,0,1,33.497582,0,0.064458,True,
batch,batch_units_3_seed_2,2,3,best-bound+SciPy-HiGHS,optimal,33.497582,3,6,1,0,1,33.497582,0,0.003876,True,
batch,batch_units_3_seed_2,2,3,Gurobi参考,optimal,33.497582,,,,,,33.497582,0,0.000524,True,optional full MIP reference
batch,batch_units_3_seed_3,3,3,best-bound+active-set,optimal,25.380372,3,6,1,1,0,25.380372,0,0.063408,True,
batch,batch_units_3_seed_3,3,3,best-bound+SciPy-HiGHS,optimal,25.380372,3,6,1,1,0,25.380372,0,0.004217,True,
batch,batch_units_3_seed_3,3,3,Gurobi参考,optimal,25.380372,,,,,,25.380372,0,0.000438,True,optional full MIP reference
