suite,case,seed,units,backend,status,objective,match_gurobi,nodes,lp_solved,candidates_checked,simplex_iterations,lp_total_runtime_sec,total_runtime_median_sec,time_run_1_sec,time_run_2_sec,time_run_3_sec,iteration_limit,numerical_error,note
batch,batch_units_3_seed_3,3,3,two_phase_simplex,optimal,25.380372,True,3,6,-,20,0.002384793,0.002549958,0.002558292,0.002549958,0.002517208,False,False,
batch,batch_units_3_seed_3,3,3,scipy_highs,optimal,25.380372,True,3,6,-,-,0.003921332,0.004093875,0.004390417,0.004093875,0.004031541,False,False,
batch,batch_units_3_seed_3,3,3,gurobi,optimal,25.380372,True,1,,-,-,-,0.000230625,0.000259125,0.000230625,0.000219834,False,False,
batch,batch_units_3_seed_4,4,3,active_set,optimal,37.92209,True,5,8,9550,-,0.063269876,0.063503209,0.063635000,0.063497708,0.063503209,False,False,
batch,batch_units_3_seed_4,4,3,two_phase_simplex,optimal,37.92209,True,5,8,-,19,0.002941834,0.003147042,0.003120792,0.003147042,0.003158417,False,False,
batch,batch_units_3_seed_4,4,3,scipy_highs,optimal,37.92209,True,5,8,-,-,0.004995248,0.005231625,0.005231625,0.005108000,0.005503791,False,False,
batch,batch_units_3_seed_4,4,3,gurobi,optimal,37.92209,True,0,,-,-,-,0.000173458,0.000195666,0.000173458,0.000163125,False,False,
batch,batch_units_4_seed_0,0,4,active_set,optimal,57.768338,True,7,10,241447,-,1.510186000,1.510745084,1.514959667,1.510745084,1.509555917,False,False,
batch,batch_units_4_seed_0,0,4,two_phase_simplex,optimal,57.768338,True,7,10,-,41,0.004783998,0.005141416,0.005141416,0.005339750,0.005052833,False,False,
batch,batch_units_4_seed_0,0,4,scipy_highs,optimal,57.768338,True,7,10,-,-,0.007004708,0.007415458,0.007415458,0.007386834,0.007601291,False,False,
batch,batch_units_4_seed_0,0,4,gurobi,optimal,57.768338,True,1,,-,-,-,0.000384916,0.000426166,0.000384916,0.000369625,False,False,
batch,batch_units_4_seed_1,1,4,active_set,optimal,45.520526,True,9,12,252029,-,1.581744251,1.582637208,1.585474458,1.579692542,1.582637208,False,False,
batch,batch_units_4_seed_1,1,4,two_phase_simplex,optimal,45.520526,True,9,12,-,54,0.005783832,0.006335209,0.006335209,0.006524959,0.006333250,False,False,
batch,batch_units_4_seed_1,1,4,scipy_highs,optimal,45.520526,True,9,12,-,-,0.009040457,0.009651208,0.009651208,0.009697792,0.009475292,False,False,
batch,batch_units_4_seed_1,1,4,gurobi,optimal,45.520526,True,1,,-,-,-,0.000336541,0.000374458,0.000333584,0.000336541,False,False,
batch,batch_units_4_seed_2,2,4,active_set,optimal,34.480494,True,5,8,244735,-,1.535234957,1.535744917,1.538617917,1.535283292,1.535744917,False,False,
batch,batch_units_4_seed_2,2,4,two_phase_simplex,optimal,34.480494,True,5,8,-,46,0.003939127,0.004239375,0.004349042,0.004239375,0.004206417,False,False,
batch,batch_units_4_seed_2,2,4,scipy_highs,optimal,34.480494,True,5,8,-,-,0.005474417,0.005796167,0.005796167,0.005756750,0.006033583,False,False,
batch,batch_units_4_seed_2,2,4,gurobi,optimal,34.480494,True,1,,-,-,-,0.000353041,0.000391292,0.000353041,0.000332791,False,False,
batch,batch_units_4_seed_3,3,4,active_set,optimal,37.916513,True,13,16,251482,-,1.595117791,1.595998416,1.594002792,1.595998416,1.597910833,False,False,
batch,batch_units_4_seed_3,3,4,two_phase_simplex,optimal,37.916513,True,13,16,-,57,0.006842958,0.007441333,0.007441333,0.007409458,0.007770542,False,False,
batch,batch_units_4_seed_3,3,4,scipy_highs,optimal,37.916513,True,13,16,-,-,0.011081793,0.011780541,0.011828292,0.011780541,0.011741500,False,False,
batch,batch_units_4_seed_3,3,4,gurobi,optimal,37.916513,True,1,,-,-,-,0.000411959,0.000451625,0.000411959,0.000398541,False,False,
batch,batch_units_4_seed_4,4,4,active_set,optimal,53.072917,True,7,10,250777,-,1.591042501,1.591723250,1.586014917,1.643073250,1.591723250,False,False,
batch,batch_units_4_seed_4,4,4,two_phase_simplex,optimal,53.072917,True,7,10,-,54,0.005235124,0.005641542,0.005587958,0.005836958,0.005641542,False,False,
batch,batch_units_4_seed_4,4,4,scipy_highs,optimal,53.072917,True,7,10,-,-,0.008538625,0.008998834,0.008998834,0.008982541,0.009005334,False,False,
batch,batch_units_4_seed_4,4,4,gurobi,optimal,53.072917,True,1,,-,-,-,0.000351875,0.000394208,0.000351875,0.000317792,False,False,
batch,batch_units_5_seed_0,0,5,active_set,candidate_limit,67.876745,,1,3,250462,-,1.698358542,1.698430292,1.704429750,1.698430292,1.697230541,False,False,
batch,batch_units_5_seed_0,0,5,two_phase_simplex,optimal,54.827235,True,3,6,-,41,0.004002083,0.004226584,0.004226584,0.004388958,0.004223000,False,False,
batch,batch_units_5_seed_0,0,5,scipy_highs,optimal,54.827235,True,3,6,-,-,0.005504250,0.005742125,0.005928750,0.005742125,0.005684291,False,False,
batch,batch_units_5_seed_0,0,5,gurobi,optimal,54.827235,True,1,,-,-,-,0.000349417,0.000386708,0.000349417,0.000346709,False,False,
batch,batch_units_5_seed_1,1,5,active_set,candidate_limit,66.810489,,1,3,250462,-,1.706163209,1.706239583,1.706752625,1.700083542,1.706239583,False,False,
batch,batch_units_5_seed_1,1,5,two_phase_simplex,optimal,61.081489,True,13,16,-,108,0.010261832,0.010920875,0.010920875,0.010932083,0.010680042,False,False,
batch,batch_units_5_seed_1,1,5,scipy_highs,optimal,61.081489,True,13,16,-,-,0.013836250,0.014539084,0.014725000,0.014539084,0.014519292,False,False,
batch,batch_units_5_seed_1,1,5,gurobi,optimal,61.081489,True,1,,-,-,-,0.000382667,0.000421000,0.000382667,0.000366958,False,False,
batch,batch_units_5_seed_2,2,5,active_set,candidate_limit,55.460747,,1,3,250462,-,1.701883668,1.701955958,1.704675792,1.697439083,1.701955958,False,False,
batch,batch_units_5_seed_2,2,5,two_phase_simplex,optimal,49.586747,True,9,12,-,73,0.007550002,0.008048875,0.008048875,0.008260084,0.007996583,False,False,
batch,batch_units_5_seed_2,2,5,scipy_highs,optimal,49.586747,True,9,12,-,-,0.010185708,0.010741625,0.010822375,0.010517792,0.010741625,False,False,
batch,batch_units_5_seed_2,2,5,gurobi,optimal,49.586747,True,1,,-,-,-,0.000402459,0.000445167,0.000402459,0.000388541,False,False,
batch,batch_units_5_seed_3,3,5,active_set,candidate_limit,62.640704,,1,3,250462,-,1.703381458,1.703453250,1.701050083,1.821105792,1.703453250,False,False,
batch,batch_units_5_seed_3,3,5,two_phase_simplex,optimal,59.866756,True,9,12,-,70,0.008486292,0.009031500,0.009058333,0.008815625,0.009031500,False,False,
batch,batch_units_5_seed_3,3,5,scipy_highs,optimal,59.866756,True,9,12,-,-,0.011075211,0.011650666,0.011454459,0.011879750,0.011650666,False,False,
batch,batch_units_5_seed_3,3,5,gurobi,optimal,59.866756,True,1,,-,-,-,0.000514625,0.000569750,0.000514625,0.000494666,False,False,
batch,batch_units_5_seed_4,4,5,active_set,candidate_limit,71.190343,,1,3,250462,-,1.705153501,1.705230750,1.705932000,1.703668667,1.705230750,False,False,
batch,batch_units_5_seed_4,4,5,two_phase_simplex,optimal,58.273283,True,7,10,-,74,0.007025250,0.007495958,0.007605209,0.007495958,0.007399250,False,False,
batch,batch_units_5_seed_4,4,5,scipy_highs,optimal,58.273283,True,7,10,-,-,0.009502915,0.010009084,0.010152541,0.009803625,0.010009084,False,False,
batch,batch_units_5_seed_4,4,5,gurobi,optimal,58.273283,True,1,,-,-,-,0.000405875,0.000459167,0.000405875,0.000391750,False,False,
